numero,tipo,area_m2,quartos,banheiros,vagas,preco,preco_m2,bairro,rua,descricao,rotulo_manual
23,Casas,338,3,,4,"R$ 770,000","R$ 2,278.11",Promorar,,Casa 3 quartos à venda no bairro Central em Goiânia. Casa com 338m²; 2 suítes; 5 banheiros e 4 vagas por R$770.000;00. ID 353670235. Confira agora a casa!,0
24,Apartamentos,31,1,,,"R$ 199,000","R$ 6,419.35",Promorar,,Apartamento 1 quarto à venda no bairro Centro em Belo Horizonte. Apartamento com 31m² e 1 banheiro por R$199.000;00. ID 10235445620. Confira agora o apartamento!,0
25,Apartamentos,,4,,4,"R$ 5,723,776",?,Promorar,,Apartamento 4 quartos à venda no bairro Setor Oeste em Goiânia. Apartamento com 4 suítes; 7 banheiros e 4 vagas por R$5.723.776;00. ID 353591828. Confira agora o apartamento!,0
26,Casas,316,3,,2,"R$ 920,000","R$ 2,911.39",Promorar,,Casa 3 quartos à venda no bairro Residencial Canadá em Goiânia. Casa com 316m²; 3 suítes; 5 banheiros e 2 vagas por R$920.000;00. ID 353666375. Confira agora a casa!,0
27,Casas,437,6,,6,"R$ 870,000","R$ 1,990.85",Promorar,,Casa 6 quartos à venda no bairro Morais em Goiânia. Casa com 437m²; 6 banheiros e 6 vagas por R$870.000;00. ID 353547863. Confira agora a casa!,0
28,Casas,190,3,,2,"R$ 990,000","R$ 5,210.53",Promorar,,Casa 3 quartos à venda no bairro Goiânia 02 em Goiânia. Casa com 190m²; 1 suíte; 2 banheiros e 2 vagas por R$990.000;00. ID 353668200. Confira agora a casa!,1
29,Casas,365,3,,4,"R$ 1,400,000","R$ 3,835.62",Promorar,,Casa 3 quartos à venda no bairro Residencial Itália em Goiânia. Casa com 365m²; 3 suítes; 3 banheiros e 4 vagas por R$1.400.000;00. ID 353668892. Confira agora a casa!,0
30,Casas,192,3,,2,"R$ 550,000","R$ 2,864.58",Promorar,,Casa 3 quartos à venda no bairro Jardim Monte Serrat em Aparecida de Goiânia. Casa com 192m²; 1 suíte; 3 banheiros e 2 vagas por R$550.000;00. ID 353666479. Confira agora a casa!,1
31,Casas,600,4,,5,"R$ 1,420,000","R$ 2,366.67",Promorar,,Casa 4 quartos à venda no bairro Residencial Alice Barbosa em Goiânia. Casa com 600m²; 2 suítes; 5 banheiros e 5 vagas por R$1.420.000;00. ID 353558751. Confira agora a casa!,0
32,Casas,900,5,,4,"R$ 2,500,000","R$ 2,777.78",Promorar,,Casa 5 quartos à venda no bairro Goiânia 02 em Goiânia. Casa com 900m²; 2 suítes; 4 banheiros e 4 vagas por R$2.500.000;00. ID 353667959. Confira agora a casa!,0
33,Casas,4656,3,,2,"R$ 900,000",R$ 193.30,Promorar,,Casa 3 quartos à venda no bairro Parque Amazônia em Goiânia. Casa com 4656m²; 1 suíte; 2 banheiros e 2 vagas por R$900.000;00. ID 353669854. Confira agora a casa!,0
34,Apartamentos,57,1,,1,"R$ 410,000","R$ 7,192.98",Promorar,,Apartamento 1 quarto à venda no bairro Setor Bueno em Goiânia. Apartamento com 57m²; 1 suíte; 2 banheiros e 1 vaga por R$410.000;00. ID 353667255. Confira agora o apartamento!,0
35,,50589,,,,"R$ 32,000,000",R$ 632.55,Promorar,,Galpão à venda no bairro Jardim dos Buritis em Aparecida de Goiânia. Galpão com 50589m² por R$32.000.000;00. ID 353671810. Confira agora o galpão!,0
36,Casas,338,3,,4,"R$ 770,000","R$ 2,278.11",Promorar,,Casa 3 quartos à venda no bairro Central em Goiânia. Casa com 338m²; 2 suítes; 5 banheiros e 4 vagas por R$770.000;00. ID 353665157. Confira agora a casa!,0
37,Casas,,5,,10,"R$ 35,000,000",?,Promorar,,Casa 5 quartos à venda no bairro Lago Sul em Brasília/Plano Piloto. Casa com 5 suítes; 10 banheiros e 10 vagas por R$35.000.000;00. ID 353712358. Confira agora a casa!,0
38,Apartamentos,,2,,1,"R$ 815,258",?,Promorar,,Apartamento 2 quartos à venda no bairro Sul em Águas Claras. Apartamento com 1 suíte; 2 banheiros e 1 vaga por R$815.258;00. ID 353701229. Confira agora o apartamento!,0
39,Casas,183,3,,3,"R$ 850,000","R$ 4,644.81",Promorar,,Casa 3 quartos à venda no bairro Jardim Europa em Goiânia. Casa com 183m²; 1 suíte; 2 banheiros e 3 vagas por R$850.000;00. ID 353668003. Confira agora a casa!,1
40,,27,,,,"R$ 130,000","R$ 4,814.81",Promorar,,Loja à venda no bairro Taguatinga Norte em Taguatinga. Loja com 27m² e 1 banheiro por R$130.000;00. ID 353687409. Confira agora a loja!,0
41,Casas,365,3,,4,"R$ 1,400,000","R$ 3,835.62",Promorar,,Casa 3 quartos à venda no bairro Residencial Itália em Goiânia. Casa com 365m²; 3 suítes; 3 banheiros e 4 vagas por R$1.400.000;00. ID 353665508. Confira agora a casa!,0
42,Casas,313,4,,10,"R$ 1,200,000","R$ 3,833.87",Promorar,,Casa 4 quartos à venda no bairro Cardoso em Aparecida de Goiânia. Casa com 313m²; 1 suíte; 3 banheiros e 10 vagas por R$1.200.000;00. ID 353468769. Confira agora a casa!,0
43,Casas,675,4,,6,"R$ 1,550,000","R$ 2,296.30",Promorar,,Casa 4 quartos à venda no bairro Gentil Meireles em Goiânia. Casa com 675m²; 4 suítes; 5 banheiros e 6 vagas por R$1.550.000;00. ID 353665973. Confira agora a casa!,0
44,Terrenos,,,,,"R$ 110,000",?,Promorar,,Lote à venda no bairro Parque Jk em Luziânia. Lote por R$110.000;00. ID 353646723. Confira agora o lote!,0
45,Casas,210,3,,2,"R$ 1,320,000","R$ 6,285.71",Promorar,,Casa 3 quartos à venda no bairro Jardim Atlântico em Goiânia. Casa com 210m²; 3 suítes; 5 banheiros e 2 vagas por R$1.320.000;00. ID 353548106. Confira agora a casa!,1
46,Casas,2180,7,,3,"R$ 4,380,000","R$ 2,009.17",Promorar,,Casa 7 quartos à venda no bairro Jaó em Goiânia. Casa com 2180m²; 3 suítes; 7 banheiros e 3 vagas por R$4.380.000;00. ID 353590991. Confira agora a casa!,0
47,Terrenos,,,,,"R$ 110,000",?,Promorar,,Lote à venda no bairro Parque Jk em Luziânia. Lote por R$110.000;00. ID 353646723. Confira agora o lote!,0
48,,33,,,,"R$ 198,000","R$ 6,000.00",Promorar,,Sala Comercial à venda no bairro Funcionários em Belo Horizonte. Sala Comercial com 33m² e 3 banheiros por R$198.000;00. ID 353194267. Confira agora a sala comercial!,0
49,Casas,210,3,,2,"R$ 1,320,000","R$ 6,285.71",Promorar,,Casa 3 quartos à venda no bairro Jardim Atlântico em Goiânia. Casa com 210m²; 3 suítes; 5 banheiros e 2 vagas por R$1.320.000;00. ID 353543698. Confira agora a casa!,1
50,Apartamentos,83,2,,1,"R$ 670,000","R$ 8,072.29",Promorar,,Apartamento 2 quartos à venda no bairro Pedro Ludovico em Goiânia. Apartamento com 83m²; 2 suítes; 3 banheiros e 1 vaga por R$670.000;00. ID 353668398. Confira agora o apartamento!,0
51,Casas,100,2,,,"R$ 599,999","R$ 5,999.99",Promorar,,Casa 2 quartos à venda no bairro Candangolândia em Candangolândia. Casa com 100m² e 3 banheiros por R$599.999;00. ID 353646981. Confira agora a casa!,1
52,Casas,450,3,,2,"R$ 950,000","R$ 2,111.11",Promorar,,Casa 3 quartos à venda no bairro Setor Aeroporto em Goiânia. Casa com 450m²; 1 suíte; 2 banheiros e 2 vagas por R$950.000;00. ID 353668935. Confira agora a casa!,0
53,Casas,2596,7,,8,"R$ 12,990,000","R$ 5,003.85",Promorar,,Casa 7 quartos à venda no bairro Setor Bueno em Goiânia. Casa com 2596m²; 7 suítes; 8 banheiros e 8 vagas por R$12.990.000;00. ID 353667538. Confira agora a casa!,0
54,Casas,1500,5,,9,"R$ 2,990,000","R$ 1,993.33",Promorar,,Casa 5 quartos à venda no bairro Condomínio Parque dos Cisnes em Goiânia. Casa com 1500m²; 5 suítes; 6 banheiros e 9 vagas por R$2.990.000;00. ID 353665913. Confira agora a casa!,0
55,Casas,151,3,,2,"R$ 649,000","R$ 4,298.01",Promorar,,Casa 3 quartos à venda no bairro Pedro Ludovico em Goiânia. Casa com 151m²; 1 suíte; 2 banheiros e 2 vagas por R$649.000;00. ID 353666951. Confira agora a casa!,0
