numero,tipo,area_m2,quartos,banheiros,vagas,preco,preco_m2,bairro,rua,descricao,rotulo_manual
15,Casas,200,3,,5,"R$ 1,200,000","R$ 6,000.00",Loteamento Recife,,Casa 3 quartos à venda no bairro Cordeiro em Recife. Casa com 200m²; 2 suítes; 3 banheiros e 5 vagas por R$1.200.000;00. ID 353700073. Confira agora a casa!,0
16,Apartamentos,65,2,,1,"R$ 210,000","R$ 3,230.77",Loteamento Recife,,Apartamento 2 quartos à venda no bairro Pau Amarelo em Paulista. Apartamento com 65m²; 1 banheiro e 1 vaga por R$210.000;00. ID 353698403. Confira agora o apartamento!,0
17,Apartamentos,52,2,,1,"R$ 185,000","R$ 3,557.69",Loteamento Recife,,Apartamento 2 quartos à venda no bairro Janga em Paulista. Apartamento com 52m²; 1 banheiro e 1 vaga por R$185.000;00. ID 353698400. Confira agora o apartamento!,0
18,Casas,100,3,2,1,"R$ 270,000","R$ 2,700.00",Loteamento Recife,Rua Tacaratú,7 Casas à venda no Vila Nova; Petrolina/PE:   100m² sendo5x20;  Sala;  Cozinha americana;  3 quartos sendo 1 suíte;  Área de sol;  Área de serviço;  Garagem. (Prontas aguardando a documentação)    Agende já a sua visita!   Código do Anúncio: 5566_1377560  Este imóvel tem as seguintes características,1
19,Terrenos,453,,,,"R$ 200,000",R$ 441.50,Loteamento Recife,,Lote à venda no bairro Guabiraba em Recife. Lote com 453m² por R$200.000;00. ID 353722326. Confira agora o lote!,0
20,Casas,68,3,1,,"R$ 225,000","R$ 3,308.82",Loteamento Recife,Rua Santa Catarina de Sena,Venda | Bairro Padre José de Castro | Cod 2553 .................................................................................... Terreno: 5x20m | 100m Área construída: 68m²  - ?Três quartos; sem suíte  - ?Cozinha americana - Banheiro social - ?Sala de estar/TV - ?Área de serviço - ?Garagem  - Cer,0
21,Apartamentos,177,3,,3,"R$ 3,500,000","R$ 19,774.01",Loteamento Recife,,Apartamento 3 quartos à venda no bairro Boa Viagem em Recife. Apartamento com 177m²; 2 suítes; 2 banheiros e 3 vagas por R$3.500.000;00. ID 353700004. Confira agora o apartamento!,0
22,Apartamentos,80,2,,1,"R$ 225,000","R$ 2,812.50",Loteamento Recife,,Apartamento 2 quartos à venda no bairro Parnamirim em Recife. Apartamento com 80m²; 1 suíte; 1 banheiro e 1 vaga por R$225.000;00. ID 344054732. Confira agora o apartamento!,0
23,Casas,161,3,3,2,"R$ 650,000","R$ 4,037.27",Loteamento Recife,Rua Albertina Santos Maximiano,Casa Duplex à venda no Loteamento Recife; Petrolina/PE:  161m²; Sala de Estar; Cozinha com planejados e cooktop; Três quartos sendo duas suítes; e a suite master com closet com planejados e varanda; 2.500L de armazenamento de água; Jardim amplo com irrigação automática; Garagem para dois carros; Áre,1
24,Casas,120,3,2,4,"R$ 420,000","R$ 3,500.00",Loteamento Recife,Rua Padre José de Castro,Casa à venda no Bairro Padre José de Castro – Petrolina PE Terreno: 10×20 Fino acabamento (100% em porcelanato) Sala de estar com pé-direito duplo Área gourmet com bancada; churrasqueira e chuveirão 3/4; sendo 1 suíte master com closet Box e espelhos em todos os banheiros Chuveiros elétricos Garagem,1
25,Casas,200,4,4,2,"R$ 650,000","R$ 3,250.00",Loteamento Recife,Rua Adalberto Barros,Casa no Bairro Vila Marcela  Energia solar 900kw/h⚡️☀️  - 4 Quartos e 4 banheiros - ⁠Sala - ⁠Cozinha Americana - ⁠Dispensa - ⁠Área de serviço  - ⁠Garagem para +3 carros - ⁠Área gourmet e Piscina no Pavimento superior  R$650.000;00  Obg: Nao financiável; Analisa propostas e trocas em imoveis,0
26,Casas,120,3,3,3,"R$ 480,000","R$ 4,000.00",Loteamento Recife,,Descubra o conforto e a sofisticação de viver em uma das melhores localizações da terceira maior cidade de Pernambuco! Esta casa de esquina no bairro Loteamento Recife oferece espaço; estilo e funcionalidade para você e sua família. ✨ Características do Imóvel: - Ampla sala ideal para receber amigos,1
27,Casas,154,5,,2,"R$ 400,000","R$ 2,597.40",Loteamento Recife,,Casa 5 quartos à venda no bairro Areias em Recife. Casa com 154m²; 2 suítes; 4 banheiros e 2 vagas por R$400.000;00. ID 353692220. Confira agora a casa!,0
28,Apartamentos,187,3,,,"R$ 4,550,000","R$ 24,331.55",Loteamento Recife,,Apartamento 3 quartos à venda no bairro Boa Viagem em Recife. Apartamento com 187m²; 3 suítes e 4 banheiros por R$4.550.000;00. ID 353697240. Confira agora o apartamento!,0
29,Apartamentos,72,3,,1,"R$ 705,000","R$ 9,791.67",Loteamento Recife,,Apartamento 3 quartos à venda no bairro Pina em Recife. Apartamento com 72m²; 1 suíte; 3 banheiros e 1 vaga por R$705.000;00. ID 353722187. Confira agora o apartamento!,0
30,Terrenos,1620,,,,"R$ 450,000",R$ 277.78,Loteamento Recife,,Lote à venda no bairro Candeias em Recife. Lote com 1620m² por R$450.000;00. ID 340439721. Confira agora o lote!,0
31,Apartamentos,172,4,,3,"R$ 1,850,000","R$ 10,755.81",Loteamento Recife,,Apartamento 4 quartos à venda no bairro Monteiro em Recife. Apartamento com 172m²; 4 suítes; 5 banheiros e 3 vagas por R$1.850.000;00. ID 353697348. Confira agora o apartamento!,0
32,Casas,112,3,2,2,"R$ 400,000","R$ 3,571.43",Loteamento Recife,Rua Dez,Casa à venda no Loteamento Recife; Petrolina/PE:  112m² sendo 5.60x20;  Toda no porcelanato;  3 quartos sendo 1 suíte;   Sala de estar e jantar integradas;  Cozinha;  Banheiro social;  Área de serviço;  Garagem; Churrasqueira e Ducha.  Agende já a sua visita!   Código do Anúncio: 5566_1188475  Este ,1
33,,220,,,,"R$ 850,000","R$ 3,863.64",Loteamento Recife,,Galpão à venda no bairro Jardim São Paulo em Recife. Galpão com 220m² por R$850.000;00. ID 353700513. Confira agora o galpão!,0
34,Casas,567,3,,,"R$ 1,300,000","R$ 2,292.77",Loteamento Recife,,Casa 3 quartos à venda no bairro Graças em Recife. Casa com 567m²; 2 suítes e 3 banheiros por R$1.300.000;00. ID 353697251. Confira agora a casa!,0
35,Casas,114,3,3,,"R$ 670,000","R$ 5,877.19",Loteamento Recife,Rua Quatorze,3/4 sendo 02 suítes 01 sala estar/jantar 01 cozinha 01 banheiro social 01 área de serviço 01 área de sol com jardim 01 espaço gourmet com churrasqueira  01 garagem ampla para dois carros  imoveis em Petrolina,1
36,Casas,390,3,,2,"R$ 550,000","R$ 1,410.26",Loteamento Recife,,Casa 3 quartos à venda no bairro Jardim São Paulo em Recife. Casa com 390m²; 2 suítes; 1 banheiro e 2 vagas por R$550.000;00. ID 353700072. Confira agora a casa!,0
37,Casas,2673,4,,2,"R$ 430,000",R$ 160.87,Loteamento Recife,,Casa 4 quartos à venda no bairro Maria Farinha em Paulista. Casa com 2673m²; 2 suítes; 3 banheiros e 2 vagas por R$430.000;00. ID 353722310. Confira agora a casa!,0
38,Apartamentos,236,3,,3,"R$ 2,000,000","R$ 8,474.58",Loteamento Recife,,Apartamento 3 quartos à venda no bairro Graças em Recife. Apartamento com 236m²; 2 suítes; 3 banheiros e 3 vagas por R$2.000.000;00. ID 353697484. Confira agora o apartamento!,0
39,Apartamentos,51,2,,1,"R$ 350,000","R$ 6,862.75",Loteamento Recife,,Apartamento 2 quartos à venda no bairro Maria Farinha em Paulista. Apartamento com 51m²; 1 suíte; 1 banheiro e 1 vaga por R$350.000;00. ID 353700105. Confira agora o apartamento!,0
40,Casas,210,3,2,,"R$ 965,000","R$ 4,595.24",Loteamento Recife,Avenida Edvaldo Antônio Arcanjo Cirilo,??03 cômodos ??02 salas ??02 wcs ??Excelente localização ??Fácil acesso  Excelente para  ??Consultório ??clínicas ??escritórios  ??12x25  Contate agora:  whatsapp   M² Soluções Imobiliárias Avenida Cardoso de Sá - 351; Orla; Petrolina  PE.  CRECI: 13.744-J 830,0
41,Casas,380,,,,"R$ 695,000","R$ 1,828.95",Loteamento Recife,,Casa à venda no bairro Santo Amaro em Recife. Casa com 380m² e 10 banheiros por R$695.000;00. ID 353692115. Confira agora a casa!,0
42,Casas,100,3,2,1,"R$ 360,000","R$ 3,600.00",Loteamento Recife,Rua Dez,Casa no Loteamento Recife   * Área do lote: 5x20 100m2 * Área construída: 74m2 - 1 Suíte com Closet acompanha móvel planejado  - ⁠3/4 - ⁠Banheiro social - Cozinha integrada com a sala  - ⁠Esquadrias kit portas - ⁠Área de serviço coberta  - ⁠Área de Sol - chuveirão com Deck de madeira   • Toda em led,1
43,Casas,69,2,2,,"R$ 260,000","R$ 3,768.12",Loteamento Recife,Rua Gravatá,Venda | Loteamento Vila Nova I | Cod 3020 ......................................................................................... Terreno: 5x20m | 100m² Área construída: 69;84m  - 03 quartos sendo uma suíte - Garagem para 01 carros - Sala integrada com a cozinha tipo americana - Boxes nos banheiro,0
44,Apartamentos,120,4,,2,"R$ 1,850,000","R$ 15,416.67",Loteamento Recife,,Apartamento 4 quartos à venda no bairro Casa Forte em Recife. Apartamento com 120m²; 2 suítes; 3 banheiros e 2 vagas por R$1.850.000;00. ID 353721889. Confira agora o apartamento!,0
45,Casas,140,3,3,2,"R$ 699,000","R$ 4,992.86",Loteamento Recife,Rua Quinze,Linda em Bairro privilegiado bairro Loteamento Recife  Três Quartos  Suíte com Closet Suíte Normal Garagem Pra Dois Garagens Área de serviço Área pra piscina sala  Jardim cozinha  Cerca Elétrica Portão Eletronico Piso no Porcelanato Bica  Vidros em blindex porta de Madeira Área de serviço espaço com,1
46,Casas,560,,,14,"R$ 3,980,000","R$ 7,107.14",Loteamento Recife,,Casa à venda no bairro Derby em Recife. Casa com 560m²; 7 banheiros e 14 vagas por R$3.980.000;00. ID 353698827. Confira agora a casa!,0
47,Casas,10,3,2,1,"R$ 250,000","R$ 25,000.00",Loteamento Recife,Rua Itacaratuba,Casa à venda no Loteamento Vila Nova em Petrolina/PE:  3 quartos sendo uma suíte;  Sala;  Cozinha;  1 banheiro social  Área de serviço;  Garagem.  Agende já a sua visita!   Código do Anúncio: 5566_1269236  Este imóvel tem as seguintes características:   Básico: Água; Energia  Estrutura: Área de Serv,0
48,Casas,54,2,,1,"R$ 230,000","R$ 4,259.26",Loteamento Recife,,Casa 2 quartos à venda no bairro Pau Amarelo em Paulista. Casa com 54m²; 1 banheiro e 1 vaga por R$230.000;00. ID 353698419. Confira agora a casa!,0
49,Casas,391,4,,6,"R$ 1,100,000","R$ 2,813.30",Loteamento Recife,,Casa 4 quartos à venda no bairro Casa Amarela em Recife. Casa com 391m²; 1 suíte; 2 banheiros e 6 vagas por R$1.100.000;00. ID 353698555. Confira agora a casa!,0
50,Casas,10,3,2,2,"R$ 410,000","R$ 41,000.00",Loteamento Recife,Rua Adalberto Barros,Casa à venda no Loteamento Recife; Petrolina/PE:  3 quartos sendo um suite com closet Garagem para 2 carros Sala integrada Cozinha ampla Área de sol Área de serviço Churrasqueira na área gourmet  Agende já a sua visita!   Código do Anúncio: 5566_1360152  Este imóvel tem as seguintes características:,0
51,Apartamentos,51,2,,1,"R$ 180,000","R$ 3,529.41",Loteamento Recife,,Apartamento 2 quartos à venda no bairro Aurora em Paulista. Apartamento com 51m²; 1 banheiro e 1 vaga por R$180.000;00. ID 353698380. Confira agora o apartamento!,0
52,Apartamentos,119,3,,1,"R$ 650,000","R$ 5,462.18",Loteamento Recife,,Apartamento 3 quartos à venda no bairro Boa Viagem em Recife. Apartamento com 119m²; 1 suíte; 1 banheiro e 1 vaga por R$650.000;00. ID 353700432. Confira agora o apartamento!,0
53,,30,,,1,"R$ 110,000","R$ 3,666.67",Loteamento Recife,,Sala Comercial à venda no bairro Santo Amaro em Recife. Sala Comercial com 30m²; 1 banheiro e 1 vaga por R$110.000;00. ID 353692183. Confira agora a sala comercial!,0
54,Terrenos,453,,,,"R$ 200,000",R$ 441.50,Loteamento Recife,,Lote à venda no bairro Guabiraba em Recife. Lote com 453m² por R$200.000;00. ID 353722326. Confira agora o lote!,0
55,Apartamentos,122,3,,,"R$ 550,000","R$ 4,508.20",Loteamento Recife,,Apartamento 3 quartos à venda no bairro Graças em Recife. Apartamento com 122m²; 1 suíte e 2 banheiros por R$550.000;00. ID 353697561. Confira agora o apartamento!,0
56,Casas,492,4,,3,"R$ 800,000","R$ 1,626.02",Loteamento Recife,,Casa 4 quartos à venda no bairro Prazeres em Jaboatão dos Guararapes. Casa com 492m²; 1 suíte; 3 banheiros e 3 vagas por R$800.000;00. ID 353697363. Confira agora a casa!,0
57,Casas,315,4,,3,"R$ 1,680,000","R$ 5,333.33",Loteamento Recife,,Casa 4 quartos à venda no bairro Poço da Panela em Recife. Casa com 315m²; 4 suítes; 4 banheiros e 3 vagas por R$1.680.000;00. ID 353708427. Confira agora a casa!,0
58,Casas,200,3,2,2,"R$ 650,000","R$ 3,250.00",Loteamento Recife,Rua Quatorze,Casa à VENDA no Loteamento Recife; Petrolina -PE:      3 quartos sendo um Suíte com closet; Sala ampla; Cozinha com balcão de granito; Garagem para 2 carros ou mais; Área de Sol; WC social com box; Corredor; Área de serviço coberta; Área gourmet.  Agende já a sua visita!   Código do Anúncio: 5566_10,1
59,Casas,1890,5,,20,"R$ 5,000,000","R$ 2,645.50",Loteamento Recife,,Casa 5 quartos à venda no bairro Espinheiro em Recife. Casa com 1890m²; 5 banheiros e 20 vagas por R$5.000.000;00. ID 353722327. Confira agora a casa!,0
60,Apartamentos,126,4,,2,"R$ 1,750,000","R$ 13,888.89",Loteamento Recife,,Apartamento 4 quartos à venda no bairro Pina em Recife. Apartamento com 126m²; 2 suítes; 4 banheiros e 2 vagas por R$1.750.000;00. ID 353722189. Confira agora o apartamento!,0
61,Apartamentos,62,3,,1,"R$ 320,000","R$ 5,161.29",Loteamento Recife,,Apartamento 3 quartos à venda no bairro Tamarineira em Recife. Apartamento com 62m²; 1 suíte; 2 banheiros e 1 vaga por R$320.000;00. ID 347628256. Confira agora o apartamento!,0
62,Apartamentos,43,2,,,"R$ 315,000","R$ 7,325.58",Loteamento Recife,,Apartamento 2 quartos à venda no bairro Boa Vista em Recife. Apartamento com 43m²; 1 suíte e 1 banheiro por R$315.000;00. ID 353700011. Confira agora o apartamento!,0
63,Casas,480,4,,3,"R$ 2,200,000","R$ 4,583.33",Loteamento Recife,,Casa 4 quartos à venda no bairro Boa Viagem em Recife. Casa com 480m²; 2 suítes; 3 banheiros e 3 vagas por R$2.200.000;00. ID 353700502. Confira agora a casa!,0
64,Apartamentos,62,3,,1,"R$ 670,000","R$ 10,806.45",Loteamento Recife,,Apartamento 3 quartos à venda no bairro Casa Amarela em Recife. Apartamento com 62m²; 1 suíte; 3 banheiros e 1 vaga por R$670.000;00. ID 353692085. Confira agora o apartamento!,0
65,Apartamentos,89,3,,2,"R$ 670,000","R$ 7,528.09",Loteamento Recife,,Apartamento 3 quartos à venda no bairro Torre em Recife. Apartamento com 89m²; 1 suíte; 2 banheiros e 2 vagas por R$670.000;00. ID 353720698. Confira agora o apartamento!,0
66,Casas,70,2,2,,"R$ 225,000","R$ 3,214.29",Loteamento Recife,Rua Santa Catarina de Sena,Venda | Bairro Padre José de Castro | Cod 2554 .................................................................................... Área construída: 70m² Terreno: 5x20m  - Três quartos; sendo 1 suíte  - Cozinha - Banheiro social - Sala de estar e jantar - Área de sol - Área de serviço - Garagem   R$,0
67,Casas,400,6,,,"R$ 1,100,000","R$ 2,750.00",Loteamento Recife,,Casa 6 quartos à venda no bairro Imbiribeira em Recife. Casa com 400m²; 3 suítes e 4 banheiros por R$1.100.000;00. ID 353697375. Confira agora a casa!,0
68,Casas,523,8,,5,"R$ 750,000","R$ 1,434.03",Loteamento Recife,,Casa 8 quartos à venda no bairro Boa Vista em Recife. Casa com 523m²; 5 banheiros e 5 vagas por R$750.000;00. ID 353692122. Confira agora a casa!,0
69,Apartamentos,173,4,,2,"R$ 650,000","R$ 3,757.23",Loteamento Recife,,Apartamento 4 quartos à venda no bairro Rosarinho em Recife. Apartamento com 173m²; 1 suíte; 3 banheiros e 2 vagas por R$650.000;00. ID 340667134. Confira agora o apartamento!,0
70,Terrenos,200,,,,"R$ 170,000",R$ 850.00,Loteamento Recife,Rua Maria Necy de Oliveira,Venda | Lote (terreno) Loteamento Recife | Cod 2340 .......................................................................... Terreno: 10X20 | 200m² Rua Asfaltada  R$ 170.000;00 .......................................................................... Contate agora: Whatsapp  Metro Quadrado Centro,0
71,Casas,85,3,,1,"R$ 350,000","R$ 4,117.65",Loteamento Recife,,Casa 3 quartos à venda no bairro Porto de Galinhas em Ipojuca. Casa com 85m²; 1 suíte; 2 banheiros e 1 vaga por R$350.000;00. ID 353700076. Confira agora a casa!,0
72,Casas,100,3,2,1,"R$ 240,000","R$ 2,400.00",Loteamento Recife,Rua Curaçá,Casa à venda no bairro Vila Nova I (Lot. Recife); Petrolina/PE:     100m² sendo 5x20; Porta de ACM; Blindex com película Champion; 3 quartos sendo um suite; Sala; Cozinha; Banheiro social; Garagem; Área de serviço; Rua será pavimentada.  Agende já a sua visita!   Código do Anúncio: 5566_1238183  Est,1
73,Casas,150,3,2,2,"R$ 550,000","R$ 3,666.67",Loteamento Recife,Rua Nossa Senhora das Graças,Excelente oportunidade no bairro Padre José de Castro Próximo ao Posto Paisão – Petrolina – PE R$ 600.000;00  Terreno 13m x 20m  149;74m² de área construída  Garagem para até 03 carros  Sala de jantar e estar integradas com pé direito duplo  Porta da sala em madeira de 2;50m  Fechadura digital eletr,1
74,Apartamentos,72,3,,1,"R$ 230,000","R$ 3,194.44",Loteamento Recife,,Apartamento 3 quartos à venda no bairro Encruzilhada em Recife. Apartamento com 72m²; 2 banheiros e 1 vaga por R$230.000;00. ID 342235397. Confira agora o apartamento!,0
75,Terrenos,1620,,,,"R$ 450,000",R$ 277.78,Loteamento Recife,,Lote à venda no bairro Candeias em Recife. Lote com 1620m² por R$450.000;00. ID 340439721. Confira agora o lote!,0
76,Casas,740,4,,,"R$ 2,500,000","R$ 3,378.38",Loteamento Recife,,Casa 4 quartos à venda no bairro Monteiro em Recife. Casa com 740m²; 2 suítes e 4 banheiros por R$2.500.000;00. ID 353697479. Confira agora a casa!,0
77,Casas,75,3,2,1,"R$ 275,000","R$ 3,666.67",Loteamento Recife,Rua Tacaratú,Casas à venda no Loteamento Vila Nova; Petrolina/PE:  Sendo 75m²; 3 quartos (sendo uma suíte); Sala de estar e jantar integradas; Banheiro social com box; Lavanderia coberta; Cozinha amaricana; Garagem; Revestimento no porcelanato; Pé direito alto de 5m Fachada moderna Portão basculante.  6 casas se,0
78,Apartamentos,161,4,,2,"R$ 1,060,000","R$ 6,583.85",Loteamento Recife,,Apartamento 4 quartos à venda no bairro Rosarinho em Recife. Apartamento com 161m²; 3 suítes; 5 banheiros e 2 vagas por R$1.060.000;00. ID 353721177. Confira agora o apartamento!,0
79,Casas,200,3,2,2,"R$ 480,000","R$ 2,400.00",Loteamento Recife,Rua Tacaratú,Casas à venda no Vila Nova; Petrolina/PE:  200m² sendo10x20; Sala; Cozinha americana; 3 quartos sendo 1 suíte; Área de sol; Área de serviço; Garagem.  Agende já a sua visita!   Código do Anúncio: 5566_1377558  Este imóvel tem as seguintes características:   Básico: Água; Energia; Esgoto  Estrutura: ,1
80,Casas,163,2,2,1,"R$ 282,800","R$ 1,734.97",Loteamento Recife,Rua Miguel Silvestre de Lima,Casas para venda com   e 2 quartos em Loteamento Recife; 163 m² por R$ 282.800;00. Entre em contato com Mega Leilões!,0
81,Apartamentos,130,4,,2,"R$ 1,600,000","R$ 12,307.69",Loteamento Recife,,Apartamento 4 quartos à venda no bairro Pina em Recife. Apartamento com 130m²; 2 suítes; 2 banheiros e 2 vagas por R$1.600.000;00. ID 353700446. Confira agora o apartamento!,0
82,Casas,232,2,2,,"R$ 450,000","R$ 1,939.66",Loteamento Recife,Avenida Edvaldo Antônio Arcanjo Cirilo,Venda | Bairro Loteamento Recife | Cod 3131 ........................................................................... Área Total: 232;50m  - 3 quartos; sendo um suite  - Sala - Cozinha - WC social  R$ 450.000;00 .......................................................................... Contate ago,1
83,Casas,70,3,2,1,"R$ 298,000","R$ 4,257.14",Loteamento Recife,Rua Trinta,Esta é uma oportunidade rara para quem busca o equilíbrio perfeito entre praticidade e um investimento inteligente. Pronta pra morar! Localizada no Loteamento Recife; uma das áreas que mais cresce e se valoriza em Petrolina; esta residência não é apenas uma casa; mas um convite para o seu um novo la,0
84,Casas,100,2,2,1,"R$ 270,000","R$ 2,700.00",Loteamento Recife,Avenida Paulista,Casa a venda no bairro Vila Nova   - Terreno: 5x20 - ⁠Área construída: 70m²  - 2/4 quartos; sendo 1 suíte com closet - ⁠sala  - ⁠cozinha - ⁠Garagem - ⁠banheiro social  - ⁠Portas náuticas - ⁠Pré-instalação para ar-condicionado nos quartos - ⁠Caixa d’água de 1.000 litros - ⁠Rua asfaltada pelos próprio,0
85,Terrenos,500,,,,"R$ 390,000",R$ 780.00,Loteamento Recife,,Terreno Loteamento Monte Carmelo; Petrolina Lote: Quadra G lote 10 Área Total: 500m2,0
86,Casas,231,4,,4,"R$ 1,300,000","R$ 5,627.71",Loteamento Recife,,Casa 4 quartos à venda no bairro Sítio dos Pintos em Recife. Casa com 231m²; 3 banheiros e 4 vagas por R$1.300.000;00. ID 353708393. Confira agora a casa!,0
87,Casas,200,3,2,4,"R$ 650,000","R$ 3,250.00",Loteamento Recife,Rua Quatorze,Casa à VENDA no Loteamento Recife; Petrolina -PE:   200m² sendo 10x20; Sala; 3 quartos sendo suíte com Closet; Cozinha americana; WC social com box; Piscina com cascata hidromassagem; Área de lazer com churrasqueira; Garagem para quatro carro; Rua asfaltada posição sombra; Pé-direito duplo; Posição ,1
88,Casas,70,3,2,,"R$ 270,000","R$ 3,857.14",Loteamento Recife,Rua Tacaratú,**🏡 Descubra Sua Nova Casa em Petrolina; PE Pronta para Você Morar!**   Apresentamos uma **oportunidade única** para conquistar seu novo lar em **Petrolina; Pernambuco**! Esta casa espetacular está pronta para uso; oferecendo conforto; conveniência e uma localização estratégica que agrega praticidad,0
