numero,tipo,area_m2,quartos,banheiros,vagas,preco,preco_m2,bairro,rua,descricao,rotulo_manual
17,Terrenos,189,,,,"R$ 180,000",R$ 952.38,Rubem Berta,Avenida João Ferreira Jardim,Porto Nobre Vende: Terreno em condomínio fechado de 189 m²; medindo 7x27 no Condomínio Vivenda das Flores. Parque Santa Fé; próximo da Baltazar; comercio; ônibus; bairro tranquilo com qualidade de vida pra sua família aproveitar o espaço verde ; ter segurança e lazer garantido dentro de sua casa.Tem,0
18,Terrenos,150,,,,"R$ 194,000","R$ 1,293.33",Rubem Berta,Avenida Arroio Feijó,Terreno alto frente leste; 150m²; com excepcional vista para o lago do Condomínio Reserva do Lago - Condomínio Clube com as seguintes características:   Lazer e Bem-Estar Lago Exclusivo: O grande diferencial do empreendimento; com ampla extensão e integrado à natureza. Complexo de Piscinas: Inclui p,0
19,Terrenos,224,,,,"R$ 165,000",R$ 736.61,Rubem Berta,Avenida Arroio Feijó,Terreno bem precificado; muito bem localizado; para construção de residencia em condomínio. Muito seguro; com infra estrutura de lazer completa; dentro do bairro planejado Verdes Campos; encontra-se à venda com toda a documentação em dia! Baixa taxa condominial com portaria. Venha já conhecer!,0
20,Terrenos,170,,,,"R$ 145,000",R$ 852.94,Rubem Berta,Rua José Ernesto Nedel,Ótimo terreno no Rubem Berta em Porto Alegre  Terreno bem localizado; na parte alta do Jardim Leopoldina; plano; medindo 169 m² de área; pronto para ser construído; nas medidas 5;50m de frente por 30;85m da frente ao fundo.   Agende sua visita! 51 3340.9500 | Panam Imóveis,0
21,Casas,200,3,3,3,"R$ 580,000","R$ 2,900.00",Rubem Berta,Rua Maira,FOXTER VENDE LINDA Casa localizada no bairro Rubem Berta; com 200m ². Imóvel dispõe de 03 dormitórios; sala de estar/jantar; cozinha; 03 banheiros; área de serviço e pisos em cerâmica. Imóvel com pátio; piscina e posição solar privilegiada. Garagem para até 03 veículos. Localizada na Rua Maira e pró,1
22,Terrenos,552,,,,"R$ 259,000",R$ 469.20,Rubem Berta,Rua Vicente Celestino,Terreno de Esquina no Bairro Rubem Berta - Excelente OportunidadeApresentamos este terreno de esquina no bairro Rubem Berta; com dimensões de 18;95m x 29;33m; ideal para quem busca investir ou construir em uma localização estratégica. Com ampla visibilidade; o terreno oferece inúmeras possibilidades,0
23,Terrenos,2000,,,,"R$ 1,700,000",R$ 850.00,Rubem Berta,Avenida Plínio Kroeff,Oportunidade Imperdível: Terreno Amplo à Venda no Bairro Rubem Berta; Porto Alegre!   Você está em busca do espaço perfeito para realizar seu sonho? Temos a solução ideal para você! Apresentamos um terreno amplo localizado em uma das regiões mais promissoras de Porto Alegre; o bairro Rubem Berta. Ca,0
24,Casas,54,3,2,4,"R$ 550,000","R$ 10,185.19",Rubem Berta,Rua Vicenta Maria,Casa de 3 dormitórios no Rubem Berta; sendo 2 banheiros e 1 suíte na casa. Amplos ambientes; com janelas grandes para possibilitar iluminação natural e ventilação. Cozinha grande com saída para o pátio. Ambiente de lazer com churrasqueira e para reunião e confraternização. Ótima estrutura; pronta pa,0
25,Casas,320,3,2,2,"R$ 650,000","R$ 2,031.25",Rubem Berta,Avenida Baltazar de Oliveira Garcia,O que te impede de comprar este imóvel?  Casa de 3 andares; próximo a Manoel Elias; em bom estado de conservação com 3 dormitórios sendo 1 suíte; 2 vagas de garagem coberta no bairro Rubem Berta em Porto Alegre. No primeiro nível situa-se entrada com pequeno Hall 2 dormitórios; banheiro social e sac,1
26,Terrenos,1023,,,,"R$ 800,000",R$ 782.01,Rubem Berta,Rua dos Maias,Terreno à venda em Porto Alegre no bairro Rubem Berta; na rua dos Maias; próximo a rótula de acesso a Alvorada; 15;50m de frente por 64;00 de frente a fundos e o outro ao lado com 16;50m de frente 72m de frente a fundos; totalizando 1.056;00m²; excelente para comércio ou moradia.   Esse terreno enco,0
27,Terrenos,5184,,,,"R$ 950,000",R$ 183.26,Rubem Berta,Avenida Bernardino Silveira de Amorim,Terreno a venda no bairro Rubem Berta em Porto Alegre RS Em ótima localização. Medidas do terreno 5.183;87 Auxiliadora Predial conta com essa e mais de 50000 ofertas de imóveis para venda em Porto Alegre e região. Conte conosco para tornar realidade o sonho da sua nova casa!,0
28,Casas,202,3,2,2,"R$ 650,000","R$ 3,217.82",Rubem Berta,Rua Cacilda Yaconis Becker,Sobrado impecável de fácil localização; próximo de todos recursos. Possui 3 dormitórios sendo 1 suítes; lavabo; banheiro social sala de estar; sala de jantar; churrasqueira e vaga coberta para 2 carros. Área de 202m² privativos e 300m² no total.  Aceita financiamento e Fgts!  Agende sua visita!  Mai,1
29,Terrenos,170,,,,"R$ 145,000",R$ 852.94,Rubem Berta,Rua José Ernesto Nedel,Ótimo terreno no Rubem Berta em Porto Alegre  Terreno bem localizado; na parte alta do Jardim Leopoldina; plano; medindo 169 m² de área; pronto para ser construído; nas medidas 5;50m de frente por 30;85m da frente ao fundo.   Agende sua visita! 51 3340.9500 | Panam Imóveis,0
30,Terrenos,137,,,,"R$ 130,000",R$ 948.91,Rubem Berta,Rua Amaury Silveira,Ideal para construir ou investir com ótimo custo-benefício!  Terreno com 136;88 m² de área total; localizado no bairro Rubem Berta; em região com fácil acesso e boa infraestrutura.  Destaques:  Metragem ideal para residência Ótima opção para investimento Região com potencial de valorização Fácil ace,0
31,Terrenos,224,,,,"R$ 165,000",R$ 736.61,Rubem Berta,Avenida Arroio Feijó,Excelente terreno; para construção de residencia em condomínio de casas muito seguro; com infra estrutura de lazer completa; dentro do bairro planejado Verdes Campos; encontra-se à venda com toda a documentação em dia! Baixa taxa condominial com portaria.OBS: ACEITA PROPOSTA !! Estudamos seu imóvel ,0
32,Casas,51,2,1,2,"R$ 300,000","R$ 5,882.35",Rubem Berta,Rua dos Maias,Foxter Cia. Imobiliária vende casa com 51;44m² de área privativa no bairro Rubem Berta em Porto Alegre. O imóvel possui 2 dormitórios; sala; cozinha; banheiro; garagem para 2 carros e pátio amplo. Bairro com mercado; comércio; próxima a parada de ônibus. Imóvel não pode ser financiado. Agende já sua,0
33,Terrenos,150,,,,"R$ 194,000","R$ 1,293.33",Rubem Berta,Avenida Arroio Feijó,Terreno alto frente leste; 150m²; com excepcional vista para o lago do Condomínio Reserva do Lago - Condomínio Clube com as seguintes características:   Lazer e Bem-Estar Lago Exclusivo: O grande diferencial do empreendimento; com ampla extensão e integrado à natureza. Complexo de Piscinas: Inclui p,0
34,Terrenos,450,,,,"R$ 305,000",R$ 677.78,Rubem Berta,Avenida Martim Félix Berta,TERRENO 900 m² medindo 30X30 Próximo ao Shopping Iguatemi,0
35,Casas,202,3,2,,"R$ 550,000","R$ 2,722.77",Rubem Berta,Rua Cacilda Yaconis Becker,Sobrado impecável de fácil localização; próximo de todos recursos. Possui 3 dormitórios sendo 1 suítes; lavabo; banheiro social sala de estar; sala de jantar; churrasqueira e vaga coberta para 2 carros. Área de 202m² privativos e 300m² no total.,1
36,Terrenos,28243,,,,"R$ 9,360,000",R$ 331.41,Rubem Berta,Avenida Bernardino Silveira de Amorim,Ótima oportunidade de investimento! Área à venda localizada na Avenida Bernardino Silveira De Amorim; no bairro Rubem Berta em Porto Alegre. A área privativa é de 28244.6m² e a área total também é de 28244.6m². A topografia do terreno é plano; e possui frente para a rua. Não perca essa oportunidade ,0
37,Terrenos,376,,,,"R$ 450,000","R$ 1,196.81",Rubem Berta,Avenida Arroio Feijó,Foxter Imobiliária vende lote com 376;15m² de área. Desfrute do clube de lazer do Reserva da Mata é o ponto alto do condomínio. Privativo aos moradores e seus convidados; ele concentra opções de lazer para todas as épocas do ano. Agende uma visita!,0
38,Terrenos,28243,,,,"R$ 9,360,000",R$ 331.41,Rubem Berta,Avenida Bernardino Silveira de Amorim,Ótima oportunidade de investimento! Área à venda localizada na Avenida Bernardino Silveira De Amorim; no bairro Rubem Berta em Porto Alegre. A área privativa é de 28244.6m² e a área total também é de 28244.6m². A topografia do terreno é plano; e possui frente para a rua. Não perca essa oportunidade ,0
39,Casas,120,3,3,2,"R$ 585,000","R$ 4,875.00",Rubem Berta,Avenida Doutor Saulo Coelho,Casa à venda localizado na Avenida Doutor Saulo Coelho; no bairro Rubem Berta em Porto Alegre. Este imóvel conta com área construída de 120m²; oferecendo 3 quartos; sendo 1 suíte; 3 banheiros e 2 vagas de garagem. Aproveite para visitar esta oportunidade e agende uma visita com um de nossos corretor,1
40,Terrenos,137,,,,"R$ 130,000",R$ 948.91,Rubem Berta,Rua Amaury Silveira,Ideal para construir ou investir com ótimo custo-benefício!  Terreno com 136;88 m² de área total; localizado no bairro Rubem Berta; em região com fácil acesso e boa infraestrutura.  Destaques:  Metragem ideal para residência Ótima opção para investimento Região com potencial de valorização Fácil ace,0
41,Terrenos,5184,,,,"R$ 800,000",R$ 154.32,Rubem Berta,Avenida Bernardino Silveira de Amorim,Terreno de 5000 m²; próprio para empresas; construção de condomínio ou loteamento. Terreno irregular; tem saída para outro bairro; mais residencial. Estuda propostas e permutas.Próximo ao Supermercado Leve Mais e Nikita Bananas;  Agende sua visita!  (51) 3340.9500 | (51) 98182.0481 Whats  Panam Imóv,0
42,Casas,78,2,,,"R$ 213,180","R$ 2,733.08",Rubem Berta,,Casa 2 quartos à venda no bairro Hípica em Porto Alegre. Casa com 78m² por R$213.180;00. ID 353303152. Confira agora a casa!,0
43,Terrenos,736,,,,"R$ 595,000",R$ 808.42,Rubem Berta,Avenida Baltazar de Oliveira Garcia,Excelente terreno de 11;5x64 736m². Bairro Rubem Berta. Porto Alegre/RS. Próximo ao Big de Alvorada; 5 minutos da Assis Brasil  Terreno.11;5x64. Rua asfaltada; bem localizado próximo ao Big de Alvorada; 5 minutos da Assis Brasil; oportunidade de morar no bairro que está valorizando a cada dia. com p,0
44,Casas,158,3,2,3,"R$ 353,400","R$ 2,236.71",Rubem Berta,Rua dos Maias,🏠 Casa residencial para venda no bairro Rubem Berta; Porto Alegre.  Excelente casa à venda no bairro Rubem Berta; em ótima localização; com 3 quartos; sendo 1 suíte. O imóvel conta com 2 salas; uma de estar e outra de jantar; além de uma cozinha espaçosa e lavanderia. A garagem é coberta e possui 3 ,1
45,Terrenos,2000,,,,"R$ 1,700,000",R$ 850.00,Rubem Berta,Avenida Plínio Kroeff,Oportunidade Imperdível: Terreno Amplo à Venda no Bairro Rubem Berta; Porto Alegre!   Você está em busca do espaço perfeito para realizar seu sonho? Temos a solução ideal para você! Apresentamos um terreno amplo localizado em uma das regiões mais promissoras de Porto Alegre; o bairro Rubem Berta. Ca,0
46,Casas,310,3,4,2,"R$ 599,000","R$ 1,932.26",Rubem Berta,Rua Oscar Ferreira,vendo casa área Terreno: 344;27m2; sendo área Construída: 310; com 2 pavimentos; sendo 3 quartos; 1 closet; 2 salas grandes; 2 cozinhas enormes; com armários planejados; 1 dispensa; escritório; duas suítes; 2 banheiros sociais; 2 vagas de garagem; quiosque grande para churrasco; piscina; quintal nos,1
47,Casas,66,3,2,2,"R$ 600,000","R$ 9,090.91",Rubem Berta,Avenida Bernardino Silveira de Amorim,Casa no bairro Parque dos Maias; ótima oportunidade para quem busca conciliar a moradia e o profissional. Essa casa possui espaço residencial e comercial; espaçosa; garagem para 02 carros; 03 dormitórios; 02 banheiros; sala; cozinha. Localizada no Bairro Parque dos Maias; próximo a comercio; escolas,0
48,Casas,120,4,3,3,"R$ 256,500","R$ 2,137.50",Rubem Berta,Rua Oliveira,Excelente Casa com 4 Dormitórios; Sala; Cozinha; 3 Banheiros sendo um Suíte; Portão eletrônico com entrada para 3 carros. Proprietário aceita; sob avaliação; Terreno; Sítio; Carro; Moto; até 70% do valor ou apartamento até R$ 200.000;00. Agende sua visita!,1
49,Casas,100,2,1,3,"R$ 400,000","R$ 4,000.00",Rubem Berta,Rua Aliados,casa a venda no bairro parque dos mayas ; 2 d. 2 salas ; cozinha com churrasqueira e edícula nos fundos do terreno -,0
50,Terrenos,7000,,,,"R$ 7,000,000","R$ 1,000.00",Rubem Berta,,ARV Imóveis; vende terreno em Porto Alegre/RS. Imóvel possuí 7.000 m² de área territorial. Ideal para empresas do ramo comercial; industrial ou logístico. Ótima localização; próximo a mercados; escolas; comércios. Disponível na região: internet; abastecimento de água; energia elétrica; linha de ônib,0
51,Terrenos,806,,,,"R$ 550,000",R$ 682.38,Rubem Berta,Avenida Martim Félix Berta,NA ESTRADA MARTIN FELIX BERTA; 1177. JARDIM LEOPOLDINA. TERRENO DESOCUPADO COM 806 M2 (10;00 x 48;00 x 58;00 x 15;00) ;  junto ao supermercado silveira.  com área total de 806m² e topografia plana.  Ótima oportunidade de investimento.  Entre em contato para mais informações. *atenção; possibilidade ,0
52,Terrenos,2140,,,,"R$ 955,000",R$ 446.26,Rubem Berta,Rua dos Maias,Terreno à Venda - 2.140 m² - Bairro Rubem Berta - Porto Alegre  Excelente oportunidade de investimento ou construção de seu novo projeto!  Localizado na Rua dos Maias; no bairro Rubem Berta - Porto Alegre; este terreno possui 2.140m² de área total; oferecendo amplo espaço e grande potencial para con,0
53,Terrenos,276,,,,"R$ 250,000",R$ 905.80,Rubem Berta,Avenida Maurício Seligman,Terreno medindo 276;11m²; localizado na rua Mauricio Seligman; em Porto Alegre. Pode ser adquirido separado ou em conjunto com o terreno ao lado.  Os dois terrenos somam 585m².  Condições especiais para aquisição dos 2 terrenos juntos; com possibilidade de avaliação de imóvel de menor valor; carro e,0
54,Casas,146,3,2,,"R$ 266,000","R$ 1,821.92",Rubem Berta,Rua Bispo Isac Aco,Casa muito boa à venda em Porto Alegre; localizada no bairro Rubem Berta; com 3 quartos; 2 banheiros e área privativa de 146 m²; construída num terreno de 255 mts. O imóvel está em excelente estado de conservação e ainda conta com sala 2 ambientes; cozinha; copa; churrasqueira; área de serviço; depó,1
55,Casas,170,3,2,1,"R$ 260,000","R$ 1,529.41",Rubem Berta,Rua Arthur de Lima Bottona,Casa 3 dormitórios à venda no bairro Rubem Berta - Rua Arthur de Lima Bottona - Porto Alegre  Excelente oportunidade para moradia! Casa à venda no bairro Rubem Berta; em Porto Alegre; com aproximadamente 170 metros quadrados de área privativa; ideal para quem busca mais espaço e privacidade para a f,1
56,Casas,170,3,,2,"R$ 998,000","R$ 5,870.59",Rubem Berta,,Casa 3 quartos à venda no bairro Vila Ipiranga em Porto Alegre. Casa com 170m²; 3 suítes; 4 banheiros e 2 vagas por R$998.000;00. ID 353651919. Confira agora a casa!,0
57,Casas,300,4,3,6,"R$ 658,500","R$ 2,195.00",Rubem Berta,Rua Cacilda Yaconis Becker,Viva a experiência completa de morar bem!   Linda Casa mobiliada com 3 pisos; 3 dormitórios; 1 suíte; hidromassagem; amplo living; cozinha americana; dependência; 4 vagas cobertas; 02 vagas descobertas; área de serviço e piscina. Em uma região tranquila; frente a uma praça e ao final do ônibus Fátim,1
58,Terrenos,550,,,,"R$ 350,000",R$ 636.36,Rubem Berta,,Terreno plano na Rua dos Maias; Terreno plano com 550 metros de área total; desocupado; parcelamento direto. 10 metros de frente por 55 metros de profundidade,0
59,Casas,326,3,4,4,"R$ 450,000","R$ 1,380.37",Rubem Berta,Rua Esther Esqueff da Silva,Vendo ótima casa com 03 dormitórios; sendo 02 suítes com sacada banheiro social; ampla sala 3 ambientes com lareira; cozinha com móveis sob medida; nos fundos tem ampla area de lazer com churrasqueira; fogao campeiro; garagem para 4 carros terraço ; total de 4 banheiros   Ac apto no negocio ou propo,1
60,Casas,160,3,3,2,"R$ 429,500","R$ 2,684.38",Rubem Berta,Rua Abdo Jorge Curi,Casa à venda localizado na Rua Abdo Jorge Curi; no bairro Rubem Berta em Porto Alegre. Este imóvel conta com área construída de 159m²; oferecendo 3 quartos; sendo 1 suíte; 3 banheiros e 2 vagas de garagem. Aproveite para visitar esta oportunidade e agende uma visita com um de nossos corretores.,1
61,Terrenos,188,,,,"R$ 180,000",R$ 957.45,Rubem Berta,Avenida João Ferreira Jardim,Porto Nobre Vende: Terreno em condomínio fechado de 189 m²; medindo 7x27 no Condomínio Vivenda das Flores. Parque Santa Fé; próximo da Baltazar; comercio; ônibus; bairro tranquilo com qualidade de vida pra sua família aproveitar o espaço verde ; ter segurança e lazer garantido dentro de sua casa.Tem,0
62,Casas,245,5,3,4,"R$ 636,000","R$ 2,595.92",Rubem Berta,Avenida Maurício Seligman,A casa tem a seguinte configuração:Pavimento Superior:- 3 dormitórios; sendo 1 suíte- Banheiro Social- Cozinha- Sala de estar e Sala de jantar integradasPavimento Inferior:- Ampla área de churrasqueira- Banheiro- 2 dormitórios- lavanderia*- escritório** OBS.: Podem ser utilizados como + 2 dormitório,1
63,Casas,47,2,,,"R$ 93,555","R$ 1,990.53",Rubem Berta,,Casa 2 quartos à venda no bairro Vila Nova em Porto Alegre. Casa com 47m² por R$93.555;00. ID 353292558. Confira agora a casa!,0
64,Casas,130,3,1,2,"R$ 380,000","R$ 2,923.08",Rubem Berta,Rua Horácio Vaz Pinheiro,Casa com três dormitórios; sala de estar; sala de jantar integrada na cozinha; área de serviço; banheiro social com box de vidro; edícula nos fundos com churrasqueira; um dormitório e banheiro; vaga de garagem para dois carros; pátio na frente do imóvel.  Localizado no bairro Rubem Berta com acesso ,1
65,Terrenos,170000,,,,"R$ 12,000,000",R$ 70.59,Rubem Berta,Rua do Bosque,Área de 170.000 metros quadrados (17 hectares) à venda no bairro Rubem Berta - Porto Alegre - ideal para loteamento ou empreendimento  Excelente oportunidade de investimento em gleba urbana à venda no bairro Rubem Berta; Zona Norte de Porto Alegre. Área com aproximadamente 170.000 metros quadrados (,0
66,Terrenos,300,,,,"R$ 320,000","R$ 1,066.67",Rubem Berta,Avenida Bernardino Silveira de Amorim,Excelente oportunidade para adquirir um terreno em Rubem Berta; Porto Alegre.  Com área total de 300 m²; esse terreno é ideal para quem deseja construir a casa dos sonhos ou investir em um novo projeto.  Localizado na Avenida Bernardino Silveira de Amorim; oferece fácil acesso e uma ótima localizaçã,0
67,Terrenos,328,,,,"R$ 109,900",R$ 335.06,Rubem Berta,Rua Vicente Celestino,Ótimo terreno à venda em Porto Alegre; localizado na Rua Vicente Celestino; no bairro Rubem Berta. Com área total de 327.6m²; o terreno está disponível por R$ 150.000. Não perca essa oportunidade de investimento! Entre em contato conosco para mais informações.,0
68,Terrenos,127,,,,"R$ 168,000","R$ 1,322.83",Rubem Berta,Avenida Arroio Feijó,Localizado no Verdes Campos; este terreno proporciona uma vista permanente para a natureza; combinando tranquilidade e segurança em um ambiente ideal para viver com conforto e estilo.  Infraestrutura: O terreno está situado em um condomínio com uma estrutura completa; incluindo clube com piscinas ad,0
69,Terrenos,736,,,,"R$ 595,000",R$ 808.42,Rubem Berta,Avenida Baltazar de Oliveira Garcia,Excelente terreno de 11;5x64 736m². Bairro Rubem Berta. Porto Alegre/RS. Próximo ao Big de Alvorada; 5 minutos da Assis Brasil  Terreno.11;5x64. Rua asfaltada; bem localizado próximo ao Big de Alvorada; 5 minutos da Assis Brasil; oportunidade de morar no bairro que está valorizando a cada dia. com p,0
70,Casas,52,2,2,2,"R$ 318,000","R$ 6,115.38",Rubem Berta,Rua Master,Casa semi mobiliada; 2 dormitórios; sala; 2 banheiros; cozinha; área de serviço; vaga de garagem para 2 carros; pátio. agende uma visita com um dos nossos corretores especialistas. Estudamos seu imóvel no negócio. Além deste; mais de 25 mil opções em nosso site.  http://www.libertasimobiliaria.com.b,0
71,Terrenos,225,,,,"R$ 165,000",R$ 733.33,Rubem Berta,Avenida Arroio Feijó,Excelente terreno; para construção de residencia em condomínio de casas muito seguro; com infra estrutura de lazer completa; dentro do bairro planejado Verdes Campos; encontra-se à venda com toda a documentação em dia! Baixa taxa condominial com portaria. OBS: ACEITA PROPOSTA !! Gostou? Essa é só um,0
72,Casas,152,3,4,2,"R$ 399,000","R$ 2,625.00",Rubem Berta,Rua Hugo Nelson Magalhães,Sobrado triplex de luxo com pátio e estacionamento  Você quer morar em um imóvel de luxo; com muito espaço; conforto e sofisticação? Então você precisa conhecer este sobrado triplex; que tem tudo o que você procura e muito mais.  O sobrado tem 152m2 de área construída; mais um pátio gramado com 40m2,1
73,Casas,158,3,1,3,"R$ 353,400","R$ 2,236.71",Rubem Berta,Rua dos Maias,Excelente Casa à venda no bairro Rubem Berta erm ótima localização ; com 3 dormitórios sendo 1 suíte ; 2 salas uma de estar e a outra de jantar; cozinha espaçosa; lavanderia; garagem coberta com 3 vagas de estacionamento. Área gourmet com churrasqueira e fogãio à lenha integrados; 1 despensa e um qu,1
74,Casas,90,2,2,1,"R$ 289,000","R$ 3,211.11",Rubem Berta,Rua José Viero,Casa semi mobiliada; no bairro Rubem Berta com 2 dormitórios; 2 banheiros; 1 vaga coberta; área de churrasqueira com banheiro; excelente pátio e uma lavanderia grande com depósito. Pátio na frente e nos fundos. Quarto infantil com acesso pela sala e também foi aberto acesso pelo quarto de casal (fác,0
75,Terrenos,255,,,2,"R$ 198,550",R$ 778.63,Rubem Berta,Avenida Arroio Feijó,Foxter vende Excelente Terreno no Condomínio Reserva da Mata com 255m² de área para construção; Condomínio fechado no complexo do Residencial Verdes Campos.  Condomínio fechado em loteamento com segurança e portaria fechada conta com Infra completa; piscina; Sauna; Lounge; Fitness; playground e Laze,0
76,Casas,152,3,4,2,"R$ 549,000","R$ 3,611.84",Rubem Berta,Rua Hugo Nelson Magalhães,Casa à venda localizado na Rua Hugo Nelson Magalhães; no bairro Rubem Berta em Porto Alegre. Este imóvel conta com área construída de 152m²; oferecendo 3 quartos; sendo 1 suíte; 4 banheiros e 2 vagas de garagem. Aproveite para visitar esta oportunidade e agende uma visita com um de nossos corretores,1
77,Terrenos,252,,,3,"R$ 899,000","R$ 3,567.46",Rubem Berta,Avenida Martim Félix Berta,🏠 Terreno para venda no bairro Rubem Berta; em Porto Alegre.  Terreno na avenida principal do bairro; com 720 m²; a 100 metros da avenida Protásio Alves; em frente ao empreendimento residencial; possui grande potencial; ideal para comércio de porte médio; possui projeto aprovado para construção de u,0
78,Terrenos,552,,,,"R$ 259,000",R$ 469.20,Rubem Berta,Rua Vicente Celestino,Terreno de Esquina no Bairro Rubem Berta - Excelente OportunidadeApresentamos este terreno de esquina no bairro Rubem Berta; com dimensões de 18;95m x 29;33m; ideal para quem busca investir ou construir em uma localização estratégica. Com ampla visibilidade; o terreno oferece inúmeras possibilidades,0
